trial_id,provider,model,initial_b0_uc,child0_spent_uc,child0_residual_uc,child0_calls_attempted,child0_calls_admitted,child0_outcome,child0_wall_ms,child1_spent_uc,child1_residual_uc,child1_calls_attempted,child1_calls_admitted,child1_outcome,child1_wall_ms,child2_spent_uc,child2_residual_uc,child2_calls_attempted,child2_calls_admitted,child2_outcome,child2_wall_ms,aggregate_spent_uc,aggregate_overshoot
13,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,12732,67,473,3,2,compile_time_reservation_refused,17693,67,473,3,2,compile_time_reservation_refused,18106,201,false
14,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,6063,67,473,3,2,compile_time_reservation_refused,3826,67,473,3,2,compile_time_reservation_refused,3716,201,false
15,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,4253,67,473,3,2,compile_time_reservation_refused,5468,67,473,3,2,compile_time_reservation_refused,4106,201,false
16,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,8034,67,473,3,2,compile_time_reservation_refused,6532,67,473,3,2,compile_time_reservation_refused,7246,201,false
17,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,5483,67,473,3,2,compile_time_reservation_refused,6774,67,473,3,2,compile_time_reservation_refused,4166,201,false
18,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,5743,67,473,3,2,compile_time_reservation_refused,4577,67,473,3,2,compile_time_reservation_refused,4739,201,false
19,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,3938,67,473,3,2,compile_time_reservation_refused,3851,67,473,3,2,compile_time_reservation_refused,5324,201,false
20,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,3823,67,473,3,2,compile_time_reservation_refused,5612,67,473,3,2,compile_time_reservation_refused,3428,201,false
21,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,9848,67,473,3,2,compile_time_reservation_refused,9854,67,473,3,2,compile_time_reservation_refused,9550,201,false
22,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,9703,67,473,3,2,compile_time_reservation_refused,9384,67,473,3,2,compile_time_reservation_refused,9390,201,false
23,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,16210,67,473,3,2,compile_time_reservation_refused,9487,67,473,3,2,compile_time_reservation_refused,9049,201,false
24,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,10168,67,473,3,2,compile_time_reservation_refused,10300,67,473,3,2,compile_time_reservation_refused,11789,201,false
25,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,17072,67,473,3,2,compile_time_reservation_refused,17504,67,473,3,2,compile_time_reservation_refused,15411,201,false
26,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,11450,67,473,3,2,compile_time_reservation_refused,9102,67,473,3,2,compile_time_reservation_refused,9187,201,false
27,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,7639,67,473,3,2,compile_time_reservation_refused,11019,67,473,3,2,compile_time_reservation_refused,6766,201,false
28,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,4839,67,473,3,2,compile_time_reservation_refused,4512,67,473,3,2,compile_time_reservation_refused,4512,201,false
29,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,12877,67,473,3,2,compile_time_reservation_refused,12934,67,473,3,2,compile_time_reservation_refused,13286,201,false
