session_idx,turn_idx,scenario,reservation_nc,actual_nc,refund_nc,input_tokens,output_tokens,body_bytes,margin_ratio,violated,latency_ms
4,3,essay_revision,6860000,1482000,5378000,672,162,4300,4.628880,false,1703
4,4,essay_revision,7887000,1786000,6101000,846,188,5327,4.416013,false,2210
4,5,essay_revision,9129000,1975000,7154000,1050,185,6569,4.622278,false,2290
4,6,essay_revision,10357000,2214000,8143000,1244,194,7797,4.677958,false,2052
4,7,essay_revision,11643000,2446000,9197000,1451,199,9083,4.760016,false,5517
4,8,essay_revision,12950000,2598000,10352000,1658,188,10390,4.984604,false,3248
4,9,essay_revision,14179000,2862000,11317000,1857,201,11619,4.954228,false,6346
4,10,essay_revision,15465000,3057000,12408000,2067,198,12905,5.058881,false,5489
4,11,essay_revision,16775000,2433000,14342000,2278,31,14215,6.894780,false,2472
5,0,math_problem,2708000,1047000,1661000,32,203,148,2.586437,false,1887
5,1,math_problem,3231000,2254000,977000,244,402,671,1.433452,false,2915
5,2,math_problem,4289000,2061000,2228000,656,281,1729,2.081029,false,3734
5,3,math_problem,5548000,2648000,2900000,958,338,2988,2.095166,false,3352
5,4,math_problem,6415000,3175000,3240000,1310,373,3855,2.020472,false,4248
5,5,math_problem,7458000,3916000,3542000,1696,444,4898,1.904494,false,3977
5,6,math_problem,8644000,3963000,4681000,2153,362,6084,2.181176,false,3157
5,7,math_problem,9611000,5011000,4600000,2526,497,7051,1.917980,false,5655
5,8,math_problem,11247000,5481000,5766000,3036,489,8687,2.051998,false,4945
5,9,math_problem,12788000,5499000,7289000,3539,392,10228,2.325514,false,4901
5,10,math_problem,13800000,6245000,7555000,3945,460,11240,2.209768,false,7769
5,11,math_problem,15388000,6445000,8943000,4415,406,12828,2.387587,false,16767
6,0,tech_compare,2710000,2575000,135000,15,512,150,1.052427,false,5995
6,1,tech_compare,4780000,3102000,1678000,542,512,2220,1.540941,false,4938
6,2,tech_compare,6650000,3633000,3017000,1073,512,4090,1.830443,false,6375
6,3,tech_compare,8534000,4159000,4375000,1599,512,5974,2.051936,false,4635
6,4,tech_compare,10309000,4681000,5628000,2121,512,7749,2.202307,false,5507
6,5,tech_compare,12326000,5206000,7120000,2646,512,9766,2.367653,false,11819
6,6,tech_compare,14181000,5732000,8449000,3172,512,11621,2.474006,false,6005
6,7,tech_compare,16003000,6255000,9748000,3695,512,13443,2.558433,false,5118
6,8,tech_compare,17877000,6782000,11095000,4222,512,15317,2.635948,false,9711
6,9,tech_compare,19683000,7313000,12370000,4753,512,17123,2.691508,false,5955
6,10,tech_compare,21699000,7840000,13859000,5280,512,19139,2.767730,false,6688
6,11,tech_compare,23445000,8367000,15078000,5807,512,20885,2.802080,false,5347
7,0,recipe_iter,2715000,1252000,1463000,22,246,155,2.168530,false,5271
7,1,recipe_iter,3690000,812000,2878000,277,107,1130,4.544335,false,5392
7,2,recipe_iter,4101000,1613000,2488000,393,244,1541,2.542467,false,5456
7,3,recipe_iter,5024000,1972000,3052000,652,264,2464,2.547667,false,4429
7,4,recipe_iter,6011000,2267000,3744000,927,268,3451,2.651522,false,5807
7,5,recipe_iter,7090000,2809000,4281000,1204,321,4530,2.524030,false,8701
7,6,recipe_iter,8168000,3319000,4849000,1534,357,5608,2.460982,false,5922
7,7,recipe_iter,9343000,3243000,6100000,1903,268,6783,2.880974,false,6152
7,8,recipe_iter,10377000,3529000,6848000,2179,270,7817,2.940493,false,5866
7,9,recipe_iter,11421000,3981000,7440000,2461,304,8861,2.868877,false,5317
7,10,recipe_iter,12455000,4138000,8317000,2773,273,9895,3.009908,false,7046
7,11,recipe_iter,13437000,5141000,8296000,3056,417,10877,2.613694,false,4672
8,0,trip_planning,2730000,2268000,462000,28,448,170,1.203704,false,5943
8,1,trip_planning,4397000,3047000,1350000,487,512,1837,1.443059,false,5508
8,2,trip_planning,6280000,3365000,2915000,1015,470,3720,1.866270,false,9475
8,3,trip_planning,7753000,3877000,3876000,1497,476,5193,1.999742,false,6468
8,4,trip_planning,9744000,4544000,5200000,1984,512,7184,2.144366,false,11487
8,5,trip_planning,11506000,5071000,6435000,2511,512,8946,2.268980,false,10996
8,6,trip_planning,13436000,5600000,7836000,3040,512,10876,2.399286,false,6934
8,7,trip_planning,15516000,6126000,9390000,3566,512,12956,2.532811,false,9377
8,8,trip_planning,17546000,6562000,10984000,4097,493,14986,2.673880,false,8105
8,9,trip_planning,19125000,7165000,11960000,4605,512,16565,2.669225,false,8924
8,10,trip_planning,21071000,6096000,14975000,5136,192,18511,3.456529,false,4740
8,11,trip_planning,21926000,5960000,15966000,5340,124,19366,3.678859,false,3244
9,0,code_debug,2939000,2667000,272000,107,512,379,1.101987,false,4797
9,1,code_debug,4581000,3146000,1435000,641,501,2021,1.456135,false,5910
9,2,code_debug,5950000,3712000,2238000,1152,512,3390,1.602909,false,3867
9,3,code_debug,7648000,4242000,3406000,1682,512,5088,1.802923,false,4230
9,4,code_debug,9040000,4765000,4275000,2205,512,6480,1.897167,false,5574
9,5,code_debug,10611000,5290000,5321000,2730,512,8051,2.005860,false,6717
9,6,code_debug,12388000,5817000,6571000,3257,512,9828,2.129620,false,7832
9,7,code_debug,14218000,6345000,7873000,3785,512,11658,2.240820,false,3907
9,8,code_debug,16012000,6871000,9141000,4311,512,13452,2.330374,false,4790
9,9,code_debug,17599000,7397000,10202000,4837,512,15039,2.379208,false,7884
9,10,code_debug,19318000,7923000,11395000,5363,512,16758,2.438218,false,4857
9,11,code_debug,21045000,8154000,12891000,5889,453,18485,2.580942,false,6208
10,0,rust_learning,2695000,694000,2001000,19,135,135,3.883285,false,2727
10,1,rust_learning,3369000,1572000,1797000,167,281,809,2.143130,false,3692
10,2,rust_learning,4239000,2349000,1890000,464,377,1679,1.804598,false,3733
10,3,rust_learning,5536000,3046000,2490000,851,439,2976,1.817466,false,5599
10,4,rust_learning,7204000,3282000,3922000,1302,396,4644,2.195003,false,3399
10,5,rust_learning,8464000,4192000,4272000,1712,496,5904,2.019084,false,5820
10,6,rust_learning,10082000,4670000,5412000,2225,489,7522,2.158887,false,10096
10,7,rust_learning,11642000,5288000,6354000,2728,512,9082,2.201589,false,5449
10,8,rust_learning,13457000,5816000,7641000,3256,512,10897,2.313790,false,5029
10,9,rust_learning,15194000,6343000,8851000,3783,512,12634,2.395397,false,4880
10,10,rust_learning,17001000,6766000,10235000,4311,491,14441,2.512711,false,5381
10,11,rust_learning,18678000,7374000,11304000,4814,512,16118,2.532954,false,5683
11,0,podcast_brainstorm,2715000,1255000,1460000,25,246,155,2.163347,false,3365
11,1,podcast_brainstorm,3835000,1612000,2223000,282,266,1275,2.379032,false,5175
11,2,podcast_brainstorm,5082000,1982000,3100000,562,284,2522,2.564077,false,5994
11,3,podcast_brainstorm,6455000,1124000,5331000,859,53,3895,5.742883,false,1975
11,4,podcast_brainstorm,6765000,1902000,4863000,927,195,4205,3.556782,false,4599
11,5,podcast_brainstorm,7729000,1996000,5733000,1131,173,5169,3.872244,false,3148
11,6,podcast_brainstorm,8538000,2169000,6369000,1314,171,5978,3.936376,false,3950
11,7,podcast_brainstorm,9396000,3014000,6382000,1499,303,6836,3.117452,false,5192
11,8,podcast_brainstorm,10647000,3138000,7509000,1813,265,8087,3.392925,false,6580
11,9,podcast_brainstorm,11879000,2405000,9474000,2090,63,9319,4.939293,false,2868
11,10,podcast_brainstorm,12288000,3798000,8490000,2163,327,9728,3.235387,false,8004
11,11,podcast_brainstorm,13722000,4075000,9647000,2500,315,11162,3.367362,false,6143
12,0,essay_revision,2714000,1039000,1675000,19,204,154,2.612127,false,4225
12,1,essay_revision,4018000,1483000,2535000,233,250,1458,2.709373,false,3221
12,2,essay_revision,5665000,1251000,4414000,496,151,3105,4.528377,false,2109
12,3,essay_revision,6658000,1551000,5107000,656,179,4098,4.292714,false,3502
12,4,essay_revision,7791000,1857000,5934000,847,202,5231,4.195477,false,2877
12,5,essay_revision,9097000,1990000,7107000,1065,185,6537,4.571357,false,3530
12,6,essay_revision,10331000,2204000,8127000,1259,189,7771,4.687387,false,2671
12,7,essay_revision,11587000,2481000,9106000,1461,204,9027,4.670294,false,2240
12,8,essay_revision,12911000,2643000,10268000,1673,194,10351,4.884979,false,3196
12,9,essay_revision,14178000,2928000,11250000,1878,210,11618,4.842213,false,3285
12,10,essay_revision,15502000,3177000,12325000,2097,216,12942,4.879446,false,3995
12,11,essay_revision,16880000,2536000,14344000,2326,42,14320,6.656151,false,2598
13,0,math_problem,2708000,1207000,1501000,32,235,148,2.243579,false,2898
13,1,math_problem,3344000,2596000,748000,276,464,784,1.288136,false,3422
13,2,math_problem,4509000,2340000,2169000,750,318,1949,1.926923,false,3401
13,3,math_problem,5723000,2699000,3024000,1089,322,3163,2.120415,false,2428
13,4,math_problem,6498000,3300000,3198000,1425,375,3938,1.969091,false,4434
13,5,math_problem,7624000,3993000,3631000,1813,436,5064,1.909341,false,3592
13,6,math_problem,8812000,4122000,4690000,2262,372,6252,2.137797,false,3685
13,7,math_problem,9830000,5145000,4685000,2645,500,7270,1.910593,false,5652
13,8,math_problem,11327000,5718000,5609000,3158,512,8767,1.980937,false,8114
13,9,math_problem,12827000,6102000,6725000,3687,483,10267,2.102098,false,4199
13,10,math_problem,14002000,6714000,7288000,4184,506,11442,2.085493,false,11828
13,11,math_problem,15626000,6590000,9036000,4700,378,13066,2.371168,false,15591
14,0,tech_compare,2710000,2575000,135000,15,512,150,1.052427,false,5439
14,1,tech_compare,4944000,3102000,1842000,542,512,2384,1.593810,false,4632
14,2,tech_compare,6769000,3632000,3137000,1072,512,4209,1.863711,false,5694
14,3,tech_compare,8585000,4158000,4427000,1598,512,6025,2.064695,false,5208
14,4,tech_compare,10419000,4680000,5739000,2120,512,7859,2.226282,false,7291
14,5,tech_compare,12085000,5206000,6879000,2646,512,9525,2.321360,false,4762
14,6,tech_compare,13830000,5731000,8099000,3171,512,11270,2.413191,false,6359
14,7,tech_compare,15673000,6254000,9419000,3694,512,13113,2.506076,false,9785
14,8,tech_compare,17724000,6781000,10943000,4221,512,15164,2.613774,false,8169
14,9,tech_compare,19521000,7312000,12209000,4752,512,16961,2.669721,false,10731
14,10,tech_compare,21356000,7839000,13517000,5279,512,18796,2.724327,false,5147
14,11,tech_compare,23385000,8365000,15020000,5805,512,20825,2.795577,false,5878
15,0,recipe_iter,2715000,1317000,1398000,22,259,155,2.061503,false,3966
15,1,recipe_iter,3726000,1105000,2621000,290,163,1166,3.371946,false,4331
15,2,recipe_iter,4328000,1887000,2441000,462,285,1768,2.293588,false,4826
15,3,recipe_iter,5404000,1987000,3417000,762,245,2844,2.719678,false,5782
15,4,recipe_iter,6263000,2343000,3920000,1018,265,3703,2.673069,false,4766
15,5,recipe_iter,7347000,2942000,4405000,1292,330,4787,2.497281,false,4043
15,6,recipe_iter,8488000,3166000,5322000,1631,307,5928,2.680985,false,3595
15,7,recipe_iter,9540000,3250000,6290000,1950,260,6980,2.935385,false,3730
15,8,recipe_iter,10517000,3478000,7039000,2218,252,7957,3.023864,false,3605
15,9,recipe_iter,11422000,3962000,7460000,2482,296,8862,2.882887,false,4331
15,10,recipe_iter,12412000,4146000,8266000,2786,272,9852,2.993729,false,5933
15,11,recipe_iter,13347000,5108000,8239000,3068,408,10787,2.612960,false,8215
16,0,trip_planning,2730000,2153000,577000,28,425,170,1.267998,false,4252
16,1,trip_planning,4332000,3024000,1308000,464,512,1772,1.432540,false,4384
16,2,trip_planning,6222000,3552000,2670000,992,512,3662,1.751689,false,8452
16,3,trip_planning,7970000,4079000,3891000,1519,512,5410,1.953910,false,6343
16,4,trip_planning,10259000,4605000,5654000,2045,512,7699,2.227796,false,8074
16,5,trip_planning,12053000,5132000,6921000,2572,512,9493,2.348597,false,6193
16,6,trip_planning,13975000,5661000,8314000,3101,512,11415,2.468645,false,6913
16,7,trip_planning,16101000,6187000,9914000,3627,512,13541,2.602392,false,8196
16,8,trip_planning,18107000,6717000,11390000,4157,512,15547,2.695697,false,9158
16,9,trip_planning,19807000,7247000,12560000,4687,512,17247,2.733131,false,9027
16,10,trip_planning,21821000,6179000,15642000,5219,192,19261,3.531478,false,3513
16,11,trip_planning,22639000,5973000,16666000,5423,110,20079,3.790223,false,2954
17,0,code_debug,2939000,2577000,362000,107,494,379,1.140473,false,4671
17,1,code_debug,4489000,2915000,1574000,620,459,1929,1.539966,false,4386
17,2,code_debug,6047000,3649000,2398000,1089,512,3487,1.657166,false,3754
17,3,code_debug,7848000,4179000,3669000,1619,512,5288,1.877961,false,3575
17,4,code_debug,8999000,4703000,4296000,2143,512,6439,1.913459,false,4286
17,5,code_debug,10677000,5228000,5449000,2668,512,8117,2.042272,false,4499
17,6,code_debug,12536000,5360000,7176000,3195,433,9976,2.338806,false,6215
17,7,code_debug,14110000,6201000,7909000,3641,512,11550,2.275439,false,3989
17,8,code_debug,15880000,6727000,9153000,4167,512,13320,2.360636,false,4403
17,9,code_debug,17559000,7253000,10306000,4693,512,14999,2.420929,false,4977
17,10,code_debug,19434000,7399000,12035000,5219,436,16874,2.626571,false,3919
17,11,code_debug,21131000,7635000,13496000,5665,394,18571,2.767649,false,5182
18,0,rust_learning,2695000,724000,1971000,19,141,135,3.722376,false,2397
18,1,rust_learning,3389000,1553000,1836000,173,276,829,2.182228,false,3186
18,2,rust_learning,4322000,2025000,2297000,465,312,1762,2.134321,false,3010
18,3,rust_learning,5363000,3032000,2331000,787,449,2803,1.768799,false,4482
18,4,rust_learning,6960000,3463000,3497000,1248,443,4400,2.009818,false,3843
18,5,rust_learning,8391000,3850000,4541000,1705,429,5831,2.179481,false,9343
18,6,rust_learning,9809000,4391000,5418000,2151,448,7249,2.233887,false,4752
18,7,rust_learning,11305000,5173000,6132000,2613,512,8745,2.185386,false,4810
18,8,rust_learning,12990000,5701000,7289000,3141,512,10430,2.278548,false,6199
18,9,rust_learning,14831000,6228000,8603000,3668,512,12271,2.381342,false,5533
18,10,rust_learning,16464000,6426000,10038000,4196,446,13904,2.562092,false,5737
18,11,rust_learning,18011000,6969000,11042000,4654,463,15451,2.584445,false,5735
19,0,podcast_brainstorm,2715000,1260000,1455000,25,247,155,2.154762,false,4110
19,1,podcast_brainstorm,3934000,1683000,2251000,283,280,1374,2.337493,false,4084
19,2,podcast_brainstorm,5272000,2017000,3255000,577,288,2712,2.613783,false,4380
19,3,podcast_brainstorm,6699000,1153000,5546000,878,55,4139,5.810061,false,1433
19,4,podcast_brainstorm,7019000,1963000,5056000,948,203,4459,3.575650,false,3437
19,5,podcast_brainstorm,7930000,2065000,5865000,1160,181,5370,3.840194,false,2357
19,6,podcast_brainstorm,8740000,2011000,6729000,1351,132,6180,4.346096,false,2783
19,7,podcast_brainstorm,9411000,3027000,6384000,1497,306,6851,3.109019,false,7050
19,8,podcast_brainstorm,10741000,3249000,7492000,1814,287,8181,3.305940,false,4931
19,9,podcast_brainstorm,11990000,2483000,9507000,2113,74,9430,4.828836,false,3036
19,10,podcast_brainstorm,12490000,3817000,8673000,2197,324,9930,3.272203,false,5165
19,11,podcast_brainstorm,13797000,3986000,9811000,2531,291,11237,3.461365,false,5101
20,0,essay_revision,2714000,1024000,1690000,19,201,154,2.650391,false,3687
20,1,essay_revision,4025000,1560000,2465000,230,266,1465,2.580128,false,4876
20,2,essay_revision,5764000,1314000,4450000,509,161,3204,4.386606,false,1926
20,3,essay_revision,6805000,1514000,5291000,679,167,4245,4.494716,false,2486
20,4,essay_revision,7866000,1828000,6038000,858,194,5306,4.303063,false,2974
20,5,essay_revision,9086000,1953000,7133000,1068,177,6526,4.652330,false,2331
20,7,essay_revision,10303000,2215000,8088000,1265,190,7743,4.651467,false,2130
20,8,essay_revision,11525000,2348000,9177000,1463,177,8965,4.908433,false,1629
20,9,essay_revision,12671000,2636000,10035000,1651,197,10111,4.806904,false,3616
20,10,essay_revision,13938000,2862000,11076000,1857,201,11378,4.870021,false,2662
20,11,essay_revision,15255000,2241000,13014000,2071,34,12695,6.807229,false,1669
21,0,math_problem,2708000,1037000,1671000,32,201,148,2.611379,false,2101
21,1,math_problem,3258000,2332000,926000,242,418,698,1.397084,false,3453
21,3,math_problem,4415000,2959000,1456000,689,454,1855,1.492058,false,3649
21,5,math_problem,5732000,3708000,2024000,1168,508,3172,1.545847,false,4086
21,6,math_problem,7017000,3394000,3623000,1689,341,4457,2.067472,false,4462
21,7,math_problem,7937000,4601000,3336000,2041,512,5377,1.725060,false,5794
21,8,math_problem,9397000,5129000,4268000,2569,512,6837,1.832131,false,7016
21,10,math_problem,10863000,5551000,5312000,3111,488,8303,1.956945,false,7982
21,11,math_problem,12500000,5509000,6991000,3609,380,9940,2.269014,false,4216
22,3,tech_compare,2915000,2608000,307000,48,512,355,1.117715,false,5093
22,5,tech_compare,4812000,3138000,1674000,578,512,2252,1.533461,false,6071
22,6,tech_compare,6715000,3664000,3051000,1104,512,4155,1.832697,false,4984
22,7,tech_compare,8479000,4187000,4292000,1627,512,5919,2.025078,false,6795
22,8,tech_compare,10226000,4714000,5512000,2154,512,7666,2.169283,false,5711
22,9,tech_compare,12197000,5245000,6952000,2685,512,9637,2.325453,false,4837
22,10,tech_compare,14083000,5772000,8311000,3212,512,11523,2.439882,false,4039
22,11,tech_compare,15953000,6299000,9654000,3739,512,13393,2.532624,false,5508
23,0,recipe_iter,2715000,1142000,1573000,22,224,155,2.377408,false,3705
23,1,recipe_iter,3623000,720000,2903000,255,93,1063,5.031944,false,2047
23,2,recipe_iter,4043000,1727000,2316000,357,274,1483,2.341054,false,4773
23,3,recipe_iter,5149000,1971000,3178000,646,265,2589,2.612380,false,3978
23,4,recipe_iter,6128000,2247000,3881000,922,265,3568,2.727192,false,3893
23,5,recipe_iter,7231000,2751000,4480000,1196,311,4671,2.628499,false,4103
23,6,recipe_iter,8351000,3056000,5295000,1516,308,5791,2.732657,false,3267
23,7,recipe_iter,9513000,3231000,6282000,1836,279,6953,2.944290,false,5192
23,8,recipe_iter,10566000,3558000,7008000,2123,287,8006,2.969646,false,4021
23,9,recipe_iter,11639000,3972000,7667000,2422,310,9079,2.930262,false,3888
23,10,recipe_iter,12670000,4195000,8475000,2740,291,10110,3.020262,false,3855
23,11,recipe_iter,13661000,4996000,8665000,3041,391,11101,2.734388,false,4283
24,0,trip_planning,2730000,2023000,707000,28,399,170,1.349481,false,5116
24,1,trip_planning,4195000,2998000,1197000,438,512,1635,1.399266,false,5494
24,2,trip_planning,6023000,3431000,2592000,966,493,3463,1.755465,false,5653
24,3,trip_planning,7594000,4031000,3563000,1471,512,5034,1.883900,false,6047
24,4,trip_planning,9531000,4557000,4974000,1997,512,6971,2.091508,false,5810
24,5,trip_planning,11128000,5084000,6044000,2524,512,8568,2.188828,false,5755
24,6,trip_planning,13016000,5613000,7403000,3053,512,10456,2.318903,false,6664
24,7,trip_planning,15139000,6139000,9000000,3579,512,12579,2.466037,false,6106
24,8,trip_planning,16896000,6670000,10226000,4110,512,14336,2.533133,false,5516
24,9,trip_planning,18374000,7199000,11175000,4639,512,15814,2.552299,false,9011
24,10,trip_planning,20164000,6215000,13949000,5170,209,17604,3.244409,false,3321
24,11,trip_planning,20985000,6101000,14884000,5391,142,18425,3.439600,false,3288
25,0,code_debug,2939000,2132000,807000,107,405,379,1.378518,false,4118
25,1,code_debug,4396000,3091000,1305000,531,512,1836,1.422193,false,3575
25,2,code_debug,6066000,3306000,2760000,1056,450,3506,1.834846,false,3500
25,3,code_debug,7763000,4081000,3682000,1521,512,5203,1.902230,false,4477
25,4,code_debug,9059000,3740000,5319000,2045,339,6499,2.422193,false,4105
25,5,code_debug,10197000,4954000,5243000,2394,512,7637,2.058337,false,4736
25,6,code_debug,12123000,5316000,6807000,2921,479,9563,2.280474,false,8595
25,7,code_debug,13759000,5973000,7786000,3413,512,11199,2.303533,false,5429
25,8,code_debug,15692000,6499000,9193000,3939,512,13132,2.414525,false,3551
25,9,code_debug,17490000,7025000,10465000,4465,512,14930,2.489680,false,4750
25,10,code_debug,19358000,7091000,12267000,4991,420,16798,2.729939,false,7911
25,11,code_debug,20947000,7861000,13086000,5421,488,18387,2.664674,false,5077
26,0,rust_learning,2695000,624000,2071000,19,121,135,4.318910,false,3749
26,1,rust_learning,3289000,1428000,1861000,153,255,729,2.303221,false,3062
26,2,rust_learning,4095000,1999000,2096000,424,315,1535,2.048524,false,4673
26,3,rust_learning,5211000,2914000,2297000,749,433,2651,1.788264,false,4844
26,4,rust_learning,6700000,3234000,3466000,1194,408,4140,2.071738,false,4399
26,5,rust_learning,7936000,3846000,4090000,1616,446,5376,2.063443,false,4336
26,6,rust_learning,9362000,4379000,4983000,2079,460,6802,2.137931,false,4292
26,7,rust_learning,10840000,5113000,5727000,2553,512,8280,2.120086,false,5870
26,8,rust_learning,12469000,5641000,6828000,3081,512,9909,2.210424,false,5552
26,9,rust_learning,14208000,6168000,8040000,3608,512,11648,2.303502,false,4225
26,10,rust_learning,15733000,6556000,9177000,4136,484,13173,2.399786,false,6008
26,11,rust_learning,17349000,7067000,10282000,4632,487,14789,2.454931,false,4736
27,0,podcast_brainstorm,2715000,1395000,1320000,25,274,155,1.946237,false,3852
27,1,podcast_brainstorm,3999000,1680000,2319000,310,274,1439,2.380357,false,4540
27,2,podcast_brainstorm,5372000,1963000,3409000,598,273,2812,2.736628,false,4143
27,3,podcast_brainstorm,6772000,1194000,5578000,884,62,4212,5.671692,false,1547
27,4,podcast_brainstorm,7133000,2036000,5097000,961,215,4573,3.503438,false,6906
27,5,podcast_brainstorm,8100000,1965000,6135000,1185,156,5540,4.122137,false,2178
27,6,podcast_brainstorm,8807000,2016000,6791000,1351,133,6247,4.368552,false,3428
27,7,podcast_brainstorm,9469000,2933000,6536000,1498,287,6909,3.228435,false,5054
27,8,podcast_brainstorm,10743000,3196000,7547000,1796,280,8183,3.361389,false,9515
27,9,podcast_brainstorm,12021000,2383000,9638000,2088,59,9461,5.044482,false,1908
27,10,podcast_brainstorm,12407000,3882000,8525000,2157,345,9847,3.196033,false,6211
27,11,podcast_brainstorm,13836000,4257000,9579000,2512,349,11276,3.250176,false,5099
28,0,essay_revision,2714000,1014000,1700000,19,199,154,2.676529,false,2888
28,1,essay_revision,4027000,1373000,2654000,228,229,1467,2.932993,false,3276
28,2,essay_revision,5568000,1165000,4403000,470,139,3008,4.779399,false,2252
28,3,essay_revision,6522000,1453000,5069000,618,167,3962,4.488644,false,2192
28,4,essay_revision,7616000,1777000,5839000,797,196,5056,4.285875,false,4059
28,5,essay_revision,8892000,1919000,6973000,1009,182,6332,4.633663,false,2761
28,6,essay_revision,10094000,2125000,7969000,1200,185,7534,4.750118,false,1840
28,7,essay_revision,11324000,2383000,8941000,1398,197,8764,4.751993,false,2762
28,8,essay_revision,12605000,2538000,10067000,1603,187,10045,4.966509,false,2224
28,9,essay_revision,13816000,2826000,10990000,1801,205,11256,4.888889,false,3205
28,10,essay_revision,15101000,3075000,12026000,2015,212,12541,4.910894,false,2160
28,11,essay_revision,16449000,2415000,14034000,2240,35,13889,6.811180,false,1452
29,0,math_problem,2708000,1192000,1516000,32,232,148,2.271812,false,2307
29,1,math_problem,3305000,2548000,757000,273,455,745,1.297096,false,3701
29,2,math_problem,4462000,2223000,2239000,738,297,1902,2.007197,false,3270
29,3,math_problem,5813000,3281000,2532000,1056,445,3253,1.771716,false,2502
29,4,math_problem,6938000,3215000,3723000,1515,340,4378,2.158009,false,3422
29,5,math_problem,7922000,3838000,4084000,1868,394,5362,2.064096,false,3032
29,6,math_problem,9016000,4110000,4906000,2275,367,6456,2.193674,false,3203
