cell,prompt_id,prompt_class,has_tools,request_body_bytes,tiktoken_estimator_tokens,anthropic_input_tokens,anthropic_output_tokens,bt_ratio,k_byte,k_tiktoken
cell_2_tools,17,clarification,true,3096,638,1276,122,2.426332288401254,0.41214470284237725,2.0
cell_2_tools,18,clarification,true,3104,640,1279,150,2.4268960125097734,0.41204896907216493,1.9984375
cell_2_tools,19,arg_hallucination,true,3185,655,1297,143,2.4556669236700075,0.4072213500784929,1.9801526717557252
cell_2_tools,20,arg_hallucination,true,3147,649,1288,116,2.4433229813664594,0.40927867810613283,1.9845916795069338
cell_2_tools,21,sql_retry,true,3174,657,1297,150,2.4471858134155746,0.4086326402016383,1.974124809741248
cell_2_tools,22,sql_retry,true,3155,651,1289,150,2.447633824670287,0.40855784469096673,1.9800307219662059
cell_2_tools,23,sql_retry,true,3177,653,1292,150,2.458978328173375,0.4066729619137551,1.9785604900459417
cell_2_tools,24,sql_retry,true,3174,656,1296,150,2.449074074074074,0.40831758034026466,1.975609756097561
cell_2_tools,25,clarification,true,3126,645,1283,150,2.436477007014809,0.4104286628278951,1.9891472868217055
cell_2_tools,26,clarification,true,3102,636,1278,78,2.427230046948357,0.4119922630560928,2.009433962264151
cell_2_tools,27,clarification,true,3096,638,1276,150,2.426332288401254,0.41214470284237725,2.0
cell_2_tools,28,clarification,true,3104,640,1279,150,2.4268960125097734,0.41204896907216493,1.9984375
cell_2_tools,29,arg_hallucination,true,3185,655,1297,150,2.4556669236700075,0.4072213500784929,1.9801526717557252
cell_2_tools,30,arg_hallucination,true,3147,649,1288,90,2.4433229813664594,0.40927867810613283,1.9845916795069338
