runtime,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,provider,model,workload,trial
token_capabilities_bytelen,compile_time_reservation_refused,3,1500,461,30.73,0,0,0,openai,gpt-4o,lang001,4
token_capabilities_bytelen,compile_time_reservation_refused,3,1500,393,26.2,0,0,0,openai,gpt-4o,lang001,5
token_capabilities_bytelen,compile_time_reservation_refused,3,1500,359,23.93,0,0,0,openai,gpt-4o,lang001,6
token_capabilities_bytelen,compile_time_reservation_refused,3,1500,368,24.53,0,0,0,openai,gpt-4o,lang001,7
token_capabilities_bytelen,compile_time_reservation_refused,3,1500,346,23.07,0,0,0,openai,gpt-4o,lang001,8
token_capabilities_bytelen,compile_time_reservation_refused,3,1500,657,43.8,0,0,0,openai,gpt-4o,lang001,9
token_capabilities_bytelen,compile_time_reservation_refused,3,1500,346,23.07,0,0,0,openai,gpt-4o,lang001,10
token_capabilities_bytelen,compile_time_reservation_refused,3,1500,447,29.8,0,0,0,openai,gpt-4o,lang001,11
token_capabilities_bytelen,compile_time_reservation_refused,4,1500,452,30.13,0,0,0,openai,gpt-4o,lang001,12
token_capabilities_bytelen,compile_time_reservation_refused,3,1500,349,23.27,0,0,0,openai,gpt-4o,lang001,13
token_capabilities_bytelen,compile_time_reservation_refused,3,1500,357,23.8,0,0,0,openai,gpt-4o,lang001,14
token_capabilities_bytelen,compile_time_reservation_refused,4,1500,421,28.07,0,0,0,openai,gpt-4o,lang001,15
token_capabilities_bytelen,compile_time_reservation_refused,3,1500,286,19.07,0,0,0,openai,gpt-4o,lang001,16
token_capabilities_bytelen,compile_time_reservation_refused,3,1500,411,27.4,0,0,0,openai,gpt-4o,lang001,17
token_capabilities_bytelen,compile_time_reservation_refused,3,1500,366,24.4,0,0,0,openai,gpt-4o,lang001,18
token_capabilities_bytelen,compile_time_reservation_refused,3,1500,358,23.87,0,0,0,openai,gpt-4o,lang001,19
token_capabilities_bytelen,compile_time_reservation_refused,3,1500,510,34.0,0,0,0,openai,gpt-4o,lang001,20
token_capabilities_bytelen,compile_time_reservation_refused,3,1500,631,42.07,0,0,0,openai,gpt-4o,lang001,21
token_capabilities_bytelen,compile_time_reservation_refused,4,1500,436,29.07,0,0,0,openai,gpt-4o,lang001,22
token_capabilities_bytelen,compile_time_reservation_refused,3,1500,646,43.07,0,0,0,openai,gpt-4o,lang001,23
token_capabilities_bytelen,compile_time_reservation_refused,3,1500,523,34.87,0,0,0,openai,gpt-4o,lang001,24
token_capabilities_bytelen,compile_time_reservation_refused,3,1500,346,23.07,0,0,0,openai,gpt-4o,lang001,25
token_capabilities_bytelen,compile_time_reservation_refused,3,1500,346,23.07,0,0,0,openai,gpt-4o,lang001,26
token_capabilities_bytelen,compile_time_reservation_refused,4,1500,502,33.47,0,0,0,openai,gpt-4o,lang001,27
token_capabilities_bytelen,compile_time_reservation_refused,3,1500,490,32.67,0,0,0,openai,gpt-4o,lang001,28
token_capabilities_bytelen,compile_time_reservation_refused,4,1500,467,31.13,0,0,0,openai,gpt-4o,lang001,29
naive_guard,compile_time_reservation_refused,3,1500,453,30.2,0,0,0,openai,gpt-4o,lang001,0
naive_guard,compile_time_reservation_refused,3,1500,679,45.27,0,0,0,openai,gpt-4o,lang001,1
naive_guard,compile_time_reservation_refused,3,1500,358,23.87,0,0,0,openai,gpt-4o,lang001,2
naive_guard,compile_time_reservation_refused,3,1500,357,23.8,0,0,0,openai,gpt-4o,lang001,3
naive_guard,compile_time_reservation_refused,4,1500,501,33.4,0,0,0,openai,gpt-4o,lang001,4
naive_guard,compile_time_reservation_refused,3,1500,345,23.0,0,0,0,openai,gpt-4o,lang001,5
naive_guard,compile_time_reservation_refused,3,1500,347,23.13,0,0,0,openai,gpt-4o,lang001,6
naive_guard,compile_time_reservation_refused,3,1500,428,28.53,0,0,0,openai,gpt-4o,lang001,7
naive_guard,compile_time_reservation_refused,3,1500,498,33.2,0,0,0,openai,gpt-4o,lang001,8
naive_guard,compile_time_reservation_refused,3,1500,392,26.13,0,0,0,openai,gpt-4o,lang001,9
naive_guard,compile_time_reservation_refused,3,1500,330,22.0,0,0,0,openai,gpt-4o,lang001,10
naive_guard,compile_time_reservation_refused,4,1500,453,30.2,0,0,0,openai,gpt-4o,lang001,11
naive_guard,compile_time_reservation_refused,3,1500,421,28.07,0,0,0,openai,gpt-4o,lang001,12
naive_guard,compile_time_reservation_refused,3,1500,636,42.4,0,0,0,openai,gpt-4o,lang001,13
naive_guard,compile_time_reservation_refused,3,1500,413,27.53,0,0,0,openai,gpt-4o,lang001,14
naive_guard,compile_time_reservation_refused,3,1500,682,45.47,0,0,0,openai,gpt-4o,lang001,15
naive_guard,compile_time_reservation_refused,3,1500,331,22.07,0,0,0,openai,gpt-4o,lang001,16
naive_guard,compile_time_reservation_refused,3,1500,334,22.27,0,0,0,openai,gpt-4o,lang001,17
naive_guard,compile_time_reservation_refused,3,1500,326,21.73,0,0,0,openai,gpt-4o,lang001,18
naive_guard,compile_time_reservation_refused,3,1500,294,19.6,0,0,0,openai,gpt-4o,lang001,19
naive_guard,compile_time_reservation_refused,4,1500,480,32.0,0,0,0,openai,gpt-4o,lang001,20
naive_guard,compile_time_reservation_refused,3,1500,351,23.4,0,0,0,openai,gpt-4o,lang001,21
naive_guard,compile_time_reservation_refused,3,1500,639,42.6,0,0,0,openai,gpt-4o,lang001,22
naive_guard,compile_time_reservation_refused,3,1500,505,33.67,0,0,0,openai,gpt-4o,lang001,23
naive_guard,compile_time_reservation_refused,3,1500,367,24.47,0,0,0,openai,gpt-4o,lang001,24
naive_guard,compile_time_reservation_refused,4,1500,487,32.47,0,0,0,openai,gpt-4o,lang001,25
naive_guard,compile_time_reservation_refused,3,1500,359,23.93,0,0,0,openai,gpt-4o,lang001,26
naive_guard,compile_time_reservation_refused,3,1500,352,23.47,0,0,0,openai,gpt-4o,lang001,27
naive_guard,compile_time_reservation_refused,3,1500,506,33.73,0,0,0,openai,gpt-4o,lang001,28
naive_guard,compile_time_reservation_refused,3,1500,357,23.8,0,0,0,openai,gpt-4o,lang001,29
